product_name,platform,price,review
iPhone 14,Amazon,64900,"I love the camera and battery life. Great phone!"
iPhone 14,Flipkart,56999,"Good value for money. Delivery was fast."
iPhone 15 128gb,Amazon,51990,"Excellent performance but overpriced."
iPhone 15 128gb,Flipkart,59900,"Very satisfied with purchase. Best price."
Samsung Galaxy S23,Amazon,94999,"Amazing display and camera. Highly recommend."
Samsung Galaxy S23,Flipkart,95999,"Great specs but heating issue observed."
Samsung S23 Ultra,Amazon,149999,"Zoom is literally unreal omg."
Samsung S23 Ultra,Flipkart,145999,"Premium feel, battery life crazy good."
OnePlus 11,Amazon,59999,"Super fast & clean UI. No lags at all."
OnePlus 11,Flipkart,57000,"Good deal. Camera could be better."
OnePlus 12,Amazon,65999,"Flagship killer energy."
OnePlus 12,Flipkart,64999,"Smooth AF. Banger performance."
Google Pixel 7,Amazon,55999,"Camera is insane. Low-light slaps."
Google Pixel 7,Flipkart,54999,"Stock Android hits different."
Google Pixel 8,Amazon,68999,"Small but mighty. Battery improved."
Google Pixel 8,Flipkart,67499,"Photos literally look edited by default lol."
Nothing Phone 2,Amazon,44999,"Design unique af. Smooth UI."
Nothing Phone 2,Flipkart,43999,"Good performance but camera mid."
Nothing Phone 2a,Amazon,29999,"Best budget all-rounder."
Nothing Phone 2a,Flipkart,28999,"Value for money, glyphs look cool."
Realme GT Neo 3,Amazon,36999,"Charging speed is wild."
Realme GT Neo 3,Flipkart,35999,"Gaming smooth, gets warm tho."
Realme 11 Pro+,Amazon,27999,"Camera too good for this price."
Realme 11 Pro+,Flipkart,26999,"Curved display flex."
Redmi Note 12 Pro,Amazon,24999,"Super crisp display."
Redmi Note 12 Pro,Flipkart,23999,"Honestly solid budget pick."
Redmi Note 13 Pro,Amazon,26999,"Great for daily use."
Redmi Note 13 Pro,Flipkart,25999,"Battery lasts long, camera decent."
Vivo V27,Amazon,31999,"Selfie cam is chef’s kiss."
Vivo V27,Flipkart,30999,"Stylish & smooth UI."
Vivo V29,Amazon,35999,"Back design aesthetic af."
Vivo V29,Flipkart,34999,"Great portraits, battery average."
Oppo Reno 8,Amazon,28999,"Classy look & nice camera."
Oppo Reno 8,Flipkart,27999,"Battery drains fast but overall good."
Oppo Reno 10,Amazon,33999,"Premium feel & great zoom."
Oppo Reno 10,Flipkart,32999,"Smooth & lightweight."
iQOO Neo 7,Amazon,27999,"Perfect for gamers fr."
iQOO Neo 7,Flipkart,26999,"Barely heats, crazy performance."
iQOO 11,Amazon,54999,"Flagship-level power."
iQOO 11,Flipkart,53999,"Super smooth & stable."
MacBook Air M1,Amazon,84999,"Still a beast. Battery crazy good."
MacBook Air M1,Flipkart,82999,"Lightweight & fast. Great value."
MacBook Air M2,Amazon,104999,"Stunning display & performance."
MacBook Air M2,Flipkart,102999,"Perfect for students & creators."
HP Pavilion 14,Amazon,59999,"Good for work, runs silent."
HP Pavilion 14,Flipkart,57999,"Nice build, battery average."
Dell Inspiron 15,Amazon,64999,"Decent laptop for office work."
Dell Inspiron 15,Flipkart,62999,"Display could’ve been better."
Sony WH-1000XM4,Amazon,22999,"Noise cancellation is god-tier."
Sony WH-1000XM4,Flipkart,21999,"Super comfy, great sound."
Sony WH-1000XM5,Amazon,29999,"Future vibes, buttery audio."
Sony WH-1000XM5,Flipkart,28999,"Expensive but worth it ngl."
AirPods Pro 2,Amazon,23999,"Spatial audio hits diff."
AirPods Pro 2,Flipkart,22999,"Noise cancel legit crazy."
AirPods 3,Amazon,18999,"Crisp sound, fits well."
AirPods 3,Flipkart,17999,"Great for calls & music."
Samsung Galaxy Watch 6,Amazon,29999,"Clean UI & accurate tracking."
Samsung Galaxy Watch 6,Flipkart,28999,"Great display, battery ok."
Apple Watch SE,Amazon,27999,"Perfect entry-level watch."
Apple Watch SE,Flipkart,26999,"Smooth performance, looks premium."
Boat Airdopes 441,Amazon,1999,"Sounds good for the price."
Boat Airdopes 441,Flipkart,1799,"Bass heavy, decent battery."
Boat Airdopes 171,Amazon,1499,"Lightweight, nice audio."
Boat Airdopes 171,Flipkart,1399,"Good for calls & daily use."
Samsung 55-inch 4K TV,Amazon,52999,"Colors vibrant af."
Samsung 55-inch 4K TV,Flipkart,51999,"Great picture quality & sound."
LG 50-inch 4K TV,Amazon,46999,"Smooth OS & clear picture."
LG 50-inch 4K TV,Flipkart,45999,"Value for money."
Mi TV 5X 43-inch,Amazon,29999,"Nice display, fast UI."
Mi TV 5X 43-inch,Flipkart,28999,"Budget king ngl."
Nike Air Max Shoes,Amazon,6499,"Super comfy, perfect for daily wear."
Nike Air Max Shoes,Flipkart,6299,"Fit is great, looks fire."
Adidas Running Shoes,Amazon,4599,"Lightweight & breathable."
